mH (GeV) 	H to gg 	H to &γγ 	H to Zγ 	H to WW 	H to ZZ 	Total ΓH (GeV)
90 	6.12e-02 	1.23e-03 	0.00 	2.09e-03 	4.21e-04 	2.20e-03
95 	6.74e-02 	1.40e-03 	4.52e-06 	4.72e-03 	6.72e-04 	2.32e-03
100 	7.37e-02 	1.59e-03 	4.98e-05 	1.11e-02 	1.13e-03 	2.46e-03
105 	7.95e-02 	1.78e-03 	1.73e-04 	2.43e-02 	2.15e-03 	2.62e-03
110 	8.44e-02 	1.97e-03 	3.95e-04 	4.82e-02 	4.39e-03 	2.82e-03
115 	8.76e-02 	2.13e-03 	7.16e-04 	8.67e-02 	8.73e-03 	3.09e-03
120 	8.82e-02 	2.25e-03 	1.12e-03 	1.43e-01 	1.60e-02 	3.47e-03
125 	8.56e-02 	2.30e-03 	1.55e-03 	2.16e-01 	2.67e-02 	4.03e-03
130 	7.96e-02 	2.26e-03 	1.96e-03 	3.05e-01 	4.02e-02 	4.87e-03
135 	7.06e-02 	2.14e-03 	2.28e-03 	4.03e-01 	5.51e-02 	6.14e-03
140 	5.94e-02 	1.94e-03 	2.47e-03 	5.04e-01 	6.92e-02 	8.12e-03
145 	4.70e-02 	1.68e-03 	2.49e-03 	6.03e-01 	7.96e-02 	1.14e-02
150 	3.43e-02 	1.37e-03 	2.32e-03 	6.99e-01 	8.28e-02 	1.73e-02
155 	2.16e-02 	1.00e-03 	1.91e-03 	7.96e-01 	7.36e-02 	3.02e-02
160 	8.57e-03 	5.33e-04 	1.15e-03 	9.09e-01 	4.16e-02 	8.29e-02
165 	3.11e-03 	2.30e-04 	5.45e-04 	9.60e-01 	2.22e-02 	2.46e-01
170 	2.18e-03 	1.58e-04 	4.00e-04 	9.65e-01 	2.36e-02 	3.80e-01
175 	1.80e-03 	1.23e-04 	3.38e-04 	9.58e-01 	3.23e-02 	5.00e-01
180 	1.54e-03 	1.02e-04 	2.96e-04 	9.32e-01 	6.02e-02 	6.31e-01
185 	1.26e-03 	8.09e-05 	2.44e-04 	8.44e-01 	1.50e-01 	8.32e-01
190 	1.08e-03 	6.74e-05 	2.11e-04 	7.86e-01 	2.09e-01 	1.04
195 	9.84e-04 	5.89e-05 	1.91e-04 	7.57e-01 	2.39e-01 	1.24
200 	9.16e-04 	5.26e-05 	1.75e-04 	7.41e-01 	2.56e-01 	1.43
210 	8.27e-04 	4.34e-05 	1.52e-04 	7.23e-01 	2.74e-01 	1.85
220 	7.69e-04 	3.67e-05 	1.34e-04 	7.14e-01 	2.84e-01 	2.31
230 	7.27e-04 	3.14e-05 	1.19e-04 	7.08e-01 	2.89e-01 	2.82
240 	6.97e-04 	2.72e-05 	1.07e-04 	7.04e-01 	2.94e-01 	3.40
250 	6.75e-04 	2.37e-05 	9.54e-05 	7.01e-01 	2.97e-01 	4.04
260 	6.59e-04 	2.08e-05 	8.57e-05 	6.99e-01 	2.99e-01 	4.76
270 	6.48e-04 	1.84e-05 	7.72e-05 	6.97e-01 	3.02e-01 	5.55
280 	6.42e-04 	1.63e-05 	6.98e-05 	6.95e-01 	3.04e-01 	6.43
290 	6.42e-04 	1.45e-05 	6.32e-05 	6.93e-01 	3.05e-01 	7.39
300 	6.46e-04 	1.30e-05 	5.75e-05 	6.92e-01 	3.07e-01 	8.43
310 	6.56e-04 	1.17e-05 	5.24e-05 	6.90e-01 	3.08e-01 	9.57
320 	6.73e-04 	1.05e-05 	4.79e-05 	6.89e-01 	3.09e-01 	1.08e+01
330 	6.99e-04 	9.56e-06 	4.39e-05 	6.88e-01 	3.10e-01 	1.21e+01
340 	7.42e-04 	8.73e-06 	4.04e-05 	6.87e-01 	3.11e-01 	1.35e+01
350 	8.05e-04 	7.62e-06 	3.65e-05 	6.76e-01 	3.07e-01 	1.52e+01
360 	8.42e-04 	6.10e-06 	3.17e-05 	6.51e-01 	2.97e-01 	1.76e+01
370 	8.54e-04 	4.85e-06 	2.76e-05 	6.28e-01 	2.87e-01 	2.02e+01
380 	8.51e-04 	3.86e-06 	2.42e-05 	6.09e-01 	2.79e-01 	2.31e+01
390 	8.40e-04 	3.09e-06 	2.14e-05 	5.94e-01 	2.73e-01 	2.61e+01
400 	8.22e-04 	2.47e-06 	1.90e-05 	5.82e-01 	2.69e-01 	2.92e+01
410 	8.02e-04 	1.98e-06 	1.70e-05 	5.72e-01 	2.65e-01 	3.25e+01
420 	7.80e-04 	1.60e-06 	1.53e-05 	5.64e-01 	2.63e-01 	3.59e+01
430 	7.56e-04 	1.28e-06 	1.38e-05 	5.59e-01 	2.61e-01 	3.94e+01
440 	7.33e-04 	1.03e-06 	1.26e-05 	5.54e-01 	2.60e-01 	4.31e+01
450 	7.09e-04 	8.27e-07 	1.15e-05 	5.51e-01 	2.59e-01 	4.69e+01
460 	6.85e-04 	6.62e-07 	1.05e-05 	5.49e-01 	2.59e-01 	5.08e+01
470 	6.62e-04 	5.29e-07 	9.64e-06 	5.47e-01 	2.59e-01 	5.49e+01
