mH (GeV) 	H to bb 	H to ττ 	H to μμ 	H to ss 	H to cc 	H to tt
90 	8.12e-01 	8.41e-02 	2.92e-04 	6.20e-04 	3.78e-02 	0.00
95 	8.04e-01 	8.41e-02 	2.92e-04 	6.13e-04 	3.73e-02 	0.00
100 	7.91e-01 	8.36e-02 	2.90e-04 	6.03e-04 	3.68e-02 	0.00
105 	7.73e-01 	8.25e-02 	2.86e-04 	5.89e-04 	3.59e-02 	0.00
110 	7.45e-01 	8.03e-02 	2.79e-04 	5.68e-04 	3.46e-02 	0.00
115 	7.05e-01 	7.65e-02 	2.66e-04 	5.37e-04 	3.27e-02 	0.00
120 	6.49e-01 	7.11e-02 	2.47e-04 	4.94e-04 	3.01e-02 	0.00
125 	5.78e-01 	6.37e-02 	2.21e-04 	4.40e-04 	2.68e-02 	0.00
130 	4.94e-01 	5.49e-02 	1.91e-04 	3.76e-04 	2.29e-02 	0.00
135 	4.04e-01 	4.52e-02 	1.57e-04 	3.07e-04 	1.87e-02 	0.00
140 	3.14e-01 	3.54e-02 	1.23e-04 	2.39e-04 	1.46e-02 	0.00
145 	2.31e-01 	2.62e-02 	9.09e-05 	1.76e-04 	1.07e-02 	0.00
150 	1.57e-01 	1.79e-02 	6.20e-05 	1.19e-04 	7.25e-03 	0.00
155 	9.18e-02 	1.06e-02 	3.66e-05 	6.98e-05 	4.25e-03 	0.00
160 	3.44e-02 	3.97e-03 	1.38e-05 	2.61e-05 	1.59e-03 	0.00
165 	1.19e-02 	1.38e-03 	4.78e-06 	9.02e-06 	5.49e-04 	0.00
170 	7.87e-03 	9.20e-04 	3.19e-06 	5.99e-06 	3.64e-04 	0.00
175 	6.12e-03 	7.19e-04 	2.49e-06 	4.65e-06 	2.83e-04 	0.00
180 	4.97e-03 	5.87e-04 	2.04e-06 	3.78e-06 	2.30e-04 	0.00
185 	3.85e-03 	4.57e-04 	1.59e-06 	2.93e-06 	1.78e-04 	0.00
190 	3.15e-03 	3.76e-04 	1.30e-06 	2.39e-06 	1.46e-04 	0.00
195 	2.70e-03 	3.24e-04 	1.13e-06 	2.06e-06 	1.25e-04 	0.00
200 	2.38e-03 	2.87e-04 	9.96e-07 	1.81e-06 	1.10e-04 	0.00
210 	1.92e-03 	2.34e-04 	8.11e-07 	1.46e-06 	8.89e-05 	0.00
220 	1.60e-03 	1.96e-04 	6.81e-07 	1.22e-06 	7.40e-05 	0.00
230 	1.36e-03 	1.68e-04 	5.82e-07 	1.03e-06 	6.27e-05 	0.00
240 	1.17e-03 	1.45e-04 	5.04e-07 	8.86e-07 	5.39e-05 	0.00
250 	1.01e-03 	1.27e-04 	4.42e-07 	7.70e-07 	4.68e-05 	0.00
260 	8.89e-04 	1.12e-04 	3.90e-07 	6.75e-07 	4.11e-05 	5.14e-08
270 	7.86e-04 	1.00e-04 	3.47e-07 	5.97e-07 	3.63e-05 	2.29e-06
280 	7.00e-04 	8.98e-05 	3.11e-07 	5.31e-07 	3.23e-05 	1.09e-05
290 	6.27e-04 	8.09e-05 	2.80e-07 	4.76e-07 	2.90e-05 	3.06e-05
300 	5.65e-04 	7.33e-05 	2.54e-07 	4.29e-07 	2.61e-05 	6.87e-05
310 	5.12e-04 	6.68e-05 	2.32e-07 	3.89e-07 	2.36e-05 	1.38e-04
320 	4.66e-04 	6.12e-05 	2.12e-07 	3.54e-07 	2.15e-05 	2.66e-04
330 	4.26e-04 	5.63e-05 	1.95e-07 	3.24e-07 	1.97e-05 	5.21e-04
340 	3.92e-04 	5.20e-05 	1.80e-07 	2.98e-07 	1.81e-05 	1.20e-03
350 	3.57e-04 	4.76e-05 	1.65e-07 	2.71e-07 	1.65e-05 	1.56e-02
360 	3.16e-04 	4.23e-05 	1.47e-07 	2.40e-07 	1.46e-05 	5.15e-02
370 	2.81e-04 	3.78e-05 	1.31e-07 	2.13e-07 	1.29e-05 	8.37e-02
380 	2.52e-04 	3.40e-05 	1.18e-07 	1.91e-07 	1.16e-05 	1.10e-01
390 	2.28e-04 	3.10e-05 	1.07e-07 	1.73e-07 	1.05e-05 	1.32e-01
400 	2.08e-04 	2.84e-05 	9.83e-08 	1.58e-07 	9.59e-06 	1.48e-01
410 	1.91e-04 	2.61e-05 	9.06e-08 	1.45e-07 	8.80e-06 	1.62e-01
420 	1.76e-04 	2.43e-05 	8.41e-08 	1.34e-07 	8.13e-06 	1.72e-01
430 	1.64e-04 	2.26e-05 	7.84e-08 	1.24e-07 	7.55e-06 	1.79e-01
440 	1.53e-04 	2.12e-05 	7.34e-08 	1.16e-07 	7.05e-06 	1.85e-01
450 	1.43e-04 	1.99e-05 	6.90e-08 	1.09e-07 	6.60e-06 	1.89e-01
460 	1.35e-04 	1.88e-05 	6.51e-08 	1.02e-07 	6.21e-06 	1.91e-01
470 	1.27e-04 	1.78e-05 	6.16e-08 	9.63e-08 	5.85e-06 	1.93e-01
480 	1.20e-04 	1.69e-05 	5.85e-08 	9.10e-08 	5.53e-06 	1.94e-01
490 	1.14e-04 	1.60e-05 	5.56e-08 	8.63e-08 	5.24e-06 	1.94e-01
500 	1.08e-04 	1.53e-05 	5.30e-08 	8.19e-08 	4.98e-06 	1.93e-01
510 	1.03e-04 	1.46e-05 	5.06e-08 	7.80e-08 	4.74e-06 	1.92e-01
520 	9.80e-05 	1.40e-05 	4.84e-08 	7.44e-08 	4.52e-06 	1.90e-01
530 	9.36e-05 	1.34e-05 	4.64e-08 	7.10e-08 	4.31e-06 	1.88e-01
540 	8.95e-05 	1.28e-05 	4.45e-08 	6.79e-08 	4.12e-06 	1.86e-01
550 	8.57e-05 	1.23e-05 	4.27e-08 	6.50e-08 	3.95e-06 	1.84e-01
560 	8.21e-05 	1.18e-05 	4.10e-08 	6.23e-08 	3.79e-06 	1.81e-01
570 	7.88e-05 	1.14e-05 	3.95e-08 	5.98e-08 	3.63e-06 	1.78e-01
580 	7.57e-05 	1.10e-05 	3.80e-08 	5.74e-08 	3.49e-06 	1.75e-01
590 	7.28e-05 	1.06e-05 	3.67e-08 	5.52e-08 	3.35e-06 	1.72e-01
600 	7.00e-05 	1.02e-05 	3.54e-08 	5.31e-08 	3.23e-06 	1.69e-01
610 	6.74e-05 	9.86e-06 	3.42e-08 	5.12e-08 	3.11e-06 	1.66e-01
620 	6.50e-05 	9.53e-06 	3.30e-08 	4.93e-08 	2.99e-06 	1.63e-01
630 	6.27e-05 	9.21e-06 	3.19e-08 	4.76e-08 	2.89e-06 	1.60e-01
640 	6.05e-05 	8.91e-06 	3.09e-08 	4.59e-08 	2.79e-06 	1.57e-01
650 	5.84e-05 	8.63e-06 	2.99e-08 	4.43e-08 	2.69e-06 	1.54e-01
660 	5.64e-05 	8.35e-06 	2.89e-08 	4.28e-08 	2.60e-06 	1.50e-01
670 	5.45e-05 	8.09e-06 	2.80e-08 	4.14e-08 	2.51e-06 	1.47e-01
680 	5.27e-05 	7.84e-06 	2.72e-08 	4.00e-08 	2.43e-06 	1.44e-01
690 	5.10e-05 	7.60e-06 	2.64e-08 	3.87e-08 	2.35e-06 	1.41e-01
700 	4.94e-05 	7.37e-06 	2.56e-08 	3.74e-08 	2.27e-06 	1.38e-01
710 	4.78e-05 	7.16e-06 	2.48e-08 	3.62e-08 	2.20e-06 	1.35e-01
720 	4.63e-05 	6.94e-06 	2.41e-08 	3.51e-08 	2.13e-06 	1.32e-01
730 	4.48e-05 	6.74e-06 	2.34e-08 	3.40e-08 	2.07e-06 	1.29e-01
740 	4.34e-05 	6.55e-06 	2.27e-08 	3.30e-08 	2.00e-06 	1.26e-01
